"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"1944","きんでん","東証PR","建設","20250502","3774","34","0.91","3740","3721","3802","3721","3770.73","317400","0.16","1196831","754627","3040","4440","20250428","3961","4.72","20250114","2934","28.63"
"1945","東京エネシス","東証PR","建設","20250502","1100","-1","-0.09","1101","1104","1120","1091","1106.95","58300","0.17","64535","38471","801","1401","20250321","1188","7.41","20250407","915","20.22"
"1946","トーエネック","東証PR","建設","20250502","1124","4","0.36","1120","1113","1127","1102","1116.55","262100","0.27","292648","108635","820","1420","20250430","1143","1.66","20250407","796","41.21"
"1948","弘電社","東証ST","建設","20250502","2067","-13","-0.63","2080","2069","2080","2002","2048.23","14200","0.16","29085","18541","1580","2580","20250204","2348","11.97","20250407","1600","29.19"
"1949","住友電設","東証PR","建設","20250502","5120","0","0","5120","5160","5170","5020","5098.56","45200","0.13","230455","182456","4120","6120","20250428","5390","5.01","20250407","4065","25.95"
"194A","WOLVES_HAND","東証GR","サービス","20250502","701","-6","-0.85","707","704","708","700","702.06","3400","0.04","2387","5590","557","857","20250107","930","24.62","20250407","554","26.53"
"1950","日本電設工業","東証PR","建設","20250502","2404","-53","-2.16","2457","2455","2458","2389","2419.19","176400","0.29","426745","147935","1957","2957","20250501","2465","2.47","20250407","1800","33.56"
"1951","エクシオグループ","東証PR","建設","20250502","1671","15","0.91","1656","1662","1680","1653.5","1668.53","536000","0.26","894331","348612","1256","2056","20250210","1806","7.48","20250407","1502","11.25"
"1952","新日本空調","東証PR","建設","20250502","2166","15","0.7","2151","2150","2174","2130","2151.29","106800","0.22","229758","105191","1651","2651","20250502","2174","0.37","20250407","1451","49.28"
"1959","九電工","東証PR","建設","20250502","5000","157","3.24","4843","4845","5024","4810","4951.36","274300","0.39","1358158","354325","4143","5543","20250131","5564","10.14","20250407","4209","18.79"
"195A","ライスカレー","東証GR","サービス","20250502","959","-1","-0.1","960","972","972","950","954.33","13300","0.45","12693","2847","810","1110","20250423","1020","5.98","20250117","650","47.54"
"1960","サンテック","東証ST","建設","20250502","807","1","0.12","806","805","816","805","809.14","4900","0.03","3965","12912","656","956","20250214","893","9.63","20250407","681","18.5"
"1961","三機工業","東証PR","建設","20250502","3620","35","0.98","3585","3580","3655","3545","3605.54","219500","0.4","791417","197873","2885","4285","20250430","3705","2.29","20250407","2805","29.06"
"1963","日揮ホールディングス","東証PR","建設","20250502","1159","4.5","0.39","1154.5","1160","1168.5","1155","1161","1035100","0.4","1201750","300898","854.5","1454.5","20250210","1422","18.5","20250407","941","23.17"
"1964","中外炉工業","東証PR","建設","20250502","3880","150","4.02","3730","3745","3935","3745","3860.12","73700","0.94","284491","30264","3030","4430","20250321","3975","2.39","20250407","2723","42.49"
"1965","テクノ菱和","東証ST","建設","20250502","2875","80","2.86","2795","2800","2919","2790","2846.21","73700","0.35","209766","61032","2295","3295","20250217","3480","17.39","20250407","2000","43.75"
"1966","高田工業所","東証ST","建設","20250502","1490","3","0.2","1487","1494","1494","1475","1487.82","4500","0.06","6695","10928","1187","1787","20250106","1667","10.62","20250407","1160","28.45"
"1967","ヤマト","東証ST","建設","20250502","1635","-12","-0.73","1647","1610","1653","1566","1619.71","43300","0.16","70134","44027","1247","2047","20250430","1675","2.39","20250407","1150","42.17"
"1968","太平電業","東証PR","建設","20250502","4875","35","0.72","4840","4890","4920","4840","4886.74","27300","0.13","133408","105017","4140","5540","20250213","5140","5.16","20250407","4055","20.22"
"1969","高砂熱学工業","東証PR","建設","20250502","6431","37","0.58","6394","6410","6546","6352","6453.1","415700","0.59","2682555","451710","5394","7394","20250502","6546","1.76","20250407","4915","30.84"
"196A","MFS","東証GR","その他金融","20250502","492","-9","-1.8","501","500","504","492","495.8","66100","0.73","32772","4472","401","601","20250428","540","8.89","20250117","287","71.43"
"1972","三晃金属工業","東証ST","建設","20250502","5830","-20","-0.34","5850","5870","5920","5810","5851.6","18100","0.46","105914","23087","4850","6850","20250205","6470","9.89","20250117","4170","39.81"
"1975","朝日工業社","東証PR","建設","20250502","2101","-3","-0.14","2104","2100","2131","2080","2106.22","128500","0.47","270649","57147","1604","2604","20250106","2370","11.35","20250407","1620","29.69"
"1976","明星工業","東証PR","建設","20250502","1383","9","0.66","1374","1366","1387","1356","1372.48","87800","0.16","120504","76227","1074","1674","20250106","1530","9.61","20250407","1086","27.35"
"1979","大氣社","東証PR","建設","20250502","2348","13","0.56","2335","2353","2366","2336","2351.59","131000","0.2","308059","157701","1835","2835","20250213","2545","7.74","20250407","1999","17.46"
"197A","タウンズ","東証ST","医薬品","20250502","502","-3","-0.59","505","508","510","500","504.05","413100","0.4","208224","51400","405","605","20250114","733","31.51","20250407","418","20.1"
"1980","ダイダン","東証PR","建設","20250502","4140","10","0.24","4130","4130","4170","4065","4132.24","163800","0.36","676861","190290","3430","4830","20250207","4300","3.72","20250407","2917","41.93"
"1981","協和日成","東証ST","建設","20250502","1369","-25","-1.79","1394","1394","1399","1364","1391.5","1800","0.02","2505","15287","1094","1694","20250205","1432","4.4","20250407","1083","26.41"
"1982","日比谷総合設備","東証PR","建設","20250502","3545","15","0.42","3530","3545","3580","3500","3547.36","35000","0.15","124158","84216","2830","4230","20250212","4190","15.39","20250407","2686","31.98"
"198A","PostPrime","東証GR","情報通信","20250502","524","-14","-2.6","538","538","558","515","534.29","170900","1.69","91310","5293","438","638","20250214","674","22.26","20250407","434","20.74"
"1992","神田通信機","東証ST","建設","20250502","-","0","0","2630","-","-","-","-","-","0","-","6899","2130","3130","20250210","2930","100","20250407","2374","-100"
"1994","高橋カーテンウォール工業","東証ST","建設","20250502","492","-4","-0.81","496","496","499","487","492.36","4500","0.05","2216","4700","416","576","20250106","578","14.88","20250407","457","7.66"
"1997","暁飯島工業","東証ST","建設","20250502","2500","0","0","2500","2481","2531","2481","2512.27","2200","0.1","5527","5500","2000","3000","20250424","2700","7.41","20250407","1990","25.63"
"2001","ニップン","東証PR","食料品","20250502","2216","-21","-0.94","2237","2222","2231","2202","2216.21","198800","0.25","440583","174674","1737","2737","20250423","2320","4.48","20250407","2091","5.98"
"2002","日清製粉グループ本社","東証PR","食料品","20250502","1846","16.5","0.9","1829.5","1825.5","1846","1821.5","1839.27","555600","0.19","1021901","536554","1429.5","2229.5","20250423","1903","3","20250407","1642","12.42"
"2003","日東富士製粉","東証ST","食料品","20250502","6670","-40","-0.6","6710","6700","6860","6580","6706.67","8700","0.09","58348","62596","5710","7710","20250327","7120","6.32","20250407","5810","14.8"
"2004","昭和産業","東証PR","食料品","20250502","2987","-28","-0.93","3015","3015","3020","2972","2985.37","35300","0.11","105384","98557","2315","3715","20250423","3090","3.33","20250407","2570","16.23"
"2009","鳥越製粉","東証ST","食料品","20250502","849","-4","-0.47","853","853","857","845","849.2","52700","0.2","44753","22105","703","1003","20250421","902","5.88","20250117","704","20.6"
"202A","豆蔵デジタルホールディングス","東証GR","情報通信","20250502","1352","-7","-0.52","1359","1363","1365","1335","1353.18","35300","0.22","47767","21700","1059","1659","20250218","1526","11.4","20250407","1090","24.04"
"2053","中部飼料","東証PR","食料品","20250502","1391","-16","-1.14","1407","1412","1418","1382","1397.36","46200","0.15","64558","42247","1107","1707","20250423","1458","4.6","20250407","1191","16.79"
"2055","日和産業","東証ST","食料品","20250502","298","-4","-1.32","302","302","302","296","298.88","5000","0.02","1494","6208","222","382","20250321","338","11.83","20250407","258","15.5"
"205A","ロゴスホールディングス","東証GR","建設","20250502","1000","5","0.5","995","996","1011","980","998.31","22900","0.59","22861","3913","845","1145","20250106","2439","59","20250424","919","8.81"
"2060","フィード・ワン","東証PR","食料品","20250502","884","-4","-0.45","888","890","899","872","880.98","99300","0.26","87482","34014","738","1038","20250423","942","6.16","20250123","762","16.01"
"206A","PRISM_BioLab","東証GR","医薬品","20250502","244","-12","-4.69","256","256","260","233","247.1","905700","2.47","223796","8948","176","336","20250107","330","26.06","20250407","190","28.42"
"208A","構造計画研究所ホールディングス","東証ST","情報通信","20250502","2524","-31","-1.21","2555","2561","2561","2511","2534.18","10500","0.1","26609","27764","2055","3055","20250328","2702","6.59","20250120","2050","23.12"
"2107","東洋精糖","東証ST","食料品","20250502","2073","0","0","2073","2073","2075","2073","2073.34","6700","0.12","13891","11310","1573","2573","20250417","2090","0.81","20250117","1435","44.46"
