SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
7186,コンコルディア・フィナンシャルグループ,東証PR,銀行,976815,1144616065,3.4,29,12.62,0.76,67.64,1116.79,85340,100,20250327,1055,20250407,700
7187,ジェイリース,東証PR,その他金融,24217,18032000,3.35,45,12.65,4.53,106.18,296.74,134300,100,20250325,1497,20250407,1080
7189,西日本フィナンシャルホールディングス,東証PR,銀行,291025,146391055,3.77,75,9.29,0.5,214.02,4011.39,198800,100,20250328,2227,20250407,1557
7192,日本モーゲージサービス,東証ST,その他金融,6293,14704000,5.14,22,7.24,0.74,59.11,580.06,42800,100,20250324,472,20250407,374
7196,Casa,東証ST,その他金融,9356,11522500,3.94,32,11.74,1.1,69.16,741.43,81200,100,20250107,860,20250407,745
7198,SBIアルヒ,東証PR,その他金融,34697,44712170,5.15,40,19.1,0.83,40.63,939.52,77600,100,20250128,897,20250407,682
7202,いすゞ自動車,東証PR,輸送用機器,1388166,713526569,4.73,92,10.67,0.96,182.3,2024.3,194550,100,20250108,2196,20250407,1608
7203,トヨタ自動車,東証PR,輸送用機器,43910065,15794987460,3.24,90,8.19,1.01,339.47,2742.1,278000,100,20250107,3127,20250407,2226
7208,カネミツ,東証ST,輸送用機器,4160,5129577,3.7,30,8.29,0.37,97.79,2178.67,81100,100,20250108,903,20250407,745
7211,三菱自動車工業,東証PR,輸送用機器,582146,1460476846,3.76,15,16.6,0.55,24.01,726.16,39860,100,20250106,523,20250407,328
7212,エフテック,東証ST,輸送用機器,9431,18712244,3.97,20,-,0.17,-382.38,2911.43,50400,100,20250324,593,20250407,395
7213,レシップホールディングス,東証ST,輸送用機器,7453,15891500,4.26,20,3.92,0.81,119.66,581.54,46900,100,20250210,522,20250407,399
7214,GMB,東証ST,輸送用機器,4508,5309991,4.71,40,7.51,0.19,113.12,4395.84,84900,100,20250108,1045,20250407,700
7217,テイン,東証ST,輸送用機器,3735,5000000,4.69,35,12.08,0.59,61.83,1262.96,74700,100,20250106,845,20250407,635
7218,田中精密工業,東証ST,輸送用機器,10066,9763600,3.1,32,6.63,0.41,155.49,2521.4,103100,100,20250326,1135,20250407,901
7219,エッチ・ケー・エス,東証ST,輸送用機器,3160,1600000,3.29,65,9.31,0.27,212.03,7353.17,197500,100,20250501,2255,20250407,1846
7224,新明和工業,東証PR,輸送用機器,93240,70000000,3.75,50,11.73,0.82,113.56,1623.85,133200,100,20250324,1514,20250407,1127
7226,極東開発工業,東証PR,輸送用機器,96240,40150000,6.59,158,15.32,0.8,156.46,2981.9,239700,100,20250307,2614,20250407,1954
7228,デイトナ,東証ST,輸送用機器,12868,3604600,3.78,135,7.69,0.99,464.54,3592.87,357000,100,20250328,3800,20250116,3310
7229,ユタカ技研,東証ST,輸送用機器,32367,14820000,3.3,72,12.45,0.31,175.46,7044.12,218400,100,20250311,2346,20250407,1795
7231,トピー工業,東証PR,輸送用機器,49142,24077510,5.05,103,9.14,0.34,223.3,6054.77,204100,100,20250319,2333,20250407,1724
7235,東京ラヂエーター製造,東証ST,輸送用機器,8788,10400000,4.91,41.5,6.12,0.38,138.14,2228.78,84500,100,20250319,1025,20250409,706
7236,ティラド,東証PR,輸送用機器,25282,6592411,4.69,180,5.75,0.55,667.05,6910.48,383500,100,20250321,4005,20250407,2690
7239,タチエス,東証PR,輸送用機器,55437,35242846,6.6,103.8,7.19,0.6,218.78,2620.41,157300,100,20250213,1867,20250407,1350
7240,NOK,東証PR,輸送用機器,342122,173138537,5.06,100,10.75,0.54,183.73,3629.19,197600,100,20250206,2565,20250407,1796
7241,フタバ産業,東証PR,輸送用機器,70590,89580827,5.08,40,5.88,0.6,134.09,1314.35,78800,100,20250326,847,20250407,599
7242,カヤバ,東証PR,輸送用機器,148832,50468662,3.73,110,10.93,0.69,269.87,4269.14,294900,100,20250321,3075,20250407,2500
7244,市光工業,東証PR,電気機器,38063,96363161,3.54,14,9.74,0.54,40.55,728.29,39500,100,20250327,450,20250407,330
7245,大同メタル工業,東証PR,輸送用機器,23380,47520253,3.05,15,9.28,0.33,53.04,1477.88,49200,100,20250318,532,20250407,405
7246,プレス工業,東証PR,輸送用機器,54800,100000000,5.84,32,8.97,0.5,61.11,1106.71,54800,100,20250326,610,20250407,444
7247,ミクニ,東証ST,輸送用機器,9942,34049423,4.79,14,4.47,0.26,65.36,1112.11,29200,100,20250108,342,20250407,230
7250,太平洋工業,東証PR,輸送用機器,76886,61312896,4.63,58,6.52,0.43,192.27,2911.94,125400,100,20250131,1567,20250407,1068
7254,ユニバンス,東証ST,輸送用機器,8306,23396787,3.66,13,3.7,0.28,96.02,1279.6,35500,100,20250217,425,20250407,284
7259,アイシン,東証PR,輸送用機器,1480514,809023902,3.55,65,11.09,0.7,164.98,2609.69,183000,100,20250321,1906,20250407,1280
7261,マツダ,東証PR,輸送用機器,551565,631803979,6.3,55,3.93,0.31,222.14,2845.6,87300,100,20250325,1115,20250407,723
7264,ムロコーポレーション,東証ST,輸送用機器,7397,6546200,3.98,45,12.69,0.31,89.04,3610.4,113000,100,20250327,1270,20250407,1002
7265,エイケン工業,東証ST,輸送用機器,3980,1240000,3.43,110,11.24,0.56,285.57,5690.8,321000,100,20250421,3850,20250407,2800
7266,今仙電機製作所,東証ST,輸送用機器,14813,23475352,3.17,20,6.91,0.28,91.31,2289.38,63100,100,20250321,665,20250407,517
7267,本田技研工業,東証PR,輸送用機器,7835520,5280000000,4.58,68,7.41,0.53,200.19,2816.8,148400,100,20250107,1620,20250407,1156
7270,SUBARU,東証PR,輸送用機器,1931240,733057473,4.37,115,5.91,0.7,445.83,3782.01,263450,100,20250325,2994,20250407,2174
7272,ヤマハ発動機,東証PR,輸送用機器,1174662,1026354101,4.37,50,7.99,0.96,143.21,1188.23,114450,100,20250106,1384,20250407,963
7276,小糸製作所,東証PR,電気機器,562565,307833172,3.06,56,23.57,0.83,77.53,2210.09,182750,100,20250130,2110,20250407,1524
7278,エクセディ,東証PR,輸送用機器,208467,48593736,5.83,250,13.1,0.87,327.6,4927,429000,100,20250321,5020,20250407,3555
7279,ハイレックスコーポレーション,東証ST,輸送用機器,55873,38216759,3.15,46,27.42,0.31,53.31,4716.9,146200,100,20250326,1735,20250409,1214
7282,豊田合成,東証PR,輸送用機器,350875,127614147,4.0,110,9.21,0.64,298.65,4270.65,274950,100,20250327,2882,20250407,2201
7283,愛三工業,東証PR,輸送用機器,124513,63397879,3.82,75,10.23,0.9,191.99,2173.01,196400,100,20250325,2234,20250407,1572
7284,盟和産業,東証ST,輸送用機器,3552,3502859,4.93,50,13.65,0.32,74.3,3180.07,101400,100,20250127,1298,20250407,899
7287,日本精機,東証ST,輸送用機器,64728,58471299,4.52,50,9.85,0.29,112.41,3840.44,110700,100,20250313,1275,20250407,917
